"","cal_dt","cluster","sess"
"377","2016-06-15","8",166057
"378","2016-03-18","8",153414
"379","2016-09-04","8",189258
"380","2016-08-13","8",122434
"381","2016-04-13","8",178122
"382","2016-09-12","8",151941
"383","2016-05-01","8",239197
"384","2016-07-29","8",131939
"385","2016-02-23","8",187673
"386","2016-04-06","8",172027
"387","2016-10-07","8",153627
"388","2016-07-03","8",192523
"389","2016-04-25","8",191216
"390","2016-04-02","8",174890
"391","2016-07-22","8",137813
"392","2016-06-23","8",141891
"393","2016-03-22","8",169341
"394","2016-04-17","8",247198
"395","2016-05-28","8",153347
"396","2016-08-02","8",154757
"397","2016-05-20","8",140675
"398","2016-08-06","8",130645
"399","2016-08-17","8",139420
"400","2016-10-15","8",142452
"401","2016-06-04","8",171054
"402","2016-08-25","8",127840
"403","2016-07-18","8",154380
"404","2016-09-16","8",141979
"405","2016-09-01","8",132820
"406","2016-04-21","8",158196
"407","2016-06-27","8",163484
"408","2016-10-04","8",161353
"409","2016-09-20","8",155871
"410","2016-01-05","8",194579
"411","2016-06-19","8",220401
"412","2016-09-05","8",158085
"413","2016-07-26","8",145874
"414","2016-03-26","8",157273
"415","2016-09-24","8",141077
"416","2016-05-05","8",164369
"417","2016-01-13","8",184078
"418","2016-05-09","8",168100
"419","2016-02-12","8",168207
"420","2016-01-24","8",241297
"421","2016-06-08","8",170640
"422","2016-05-24","8",167162
"423","2016-10-19","8",149858
"424","2016-02-27","8",180492
"425","2016-02-16","8",179259
"426","2016-03-07","8",187746
"427","2016-08-29","8",148612
"428","2016-09-09","8",134436
"429","2016-07-07","8",137592
"430","2016-07-11","8",162896
"431","2016-09-13","8",143653
"432","2016-01-28","8",176810
"433","2016-03-15","8",179995
"434","2016-02-04","8",163326
"435","2016-04-10","8",212433
"436","2016-04-29","8",154087
"437","2016-09-28","8",154716
"438","2016-04-14","8",167088
"439","2016-10-16","8",180976
"440","2016-08-21","8",174340
"441","2016-08-10","8",143707
"442","2016-04-18","8",192689
"443","2016-10-08","8",165600
"444","2016-06-12","8",226273
"445","2016-10-12","8",145234
"446","2016-07-30","8",129738
"447","2016-01-09","8",202188
"448","2016-02-08","8",191952
"449","2016-01-17","8",241526
"450","2016-02-01","8",185342
"451","2016-01-02","8",197748
"452","2016-03-11","8",166609
"453","2016-03-30","8",186411
"454","2016-03-19","8",172346
"455","2016-04-03","8",220628
"456","2016-05-17","8",161266
"457","2016-08-14","8",154078
"458","2016-05-13","8",156360
"459","2016-03-04","8",170370
"460","2016-03-23","8",166870
"461","2016-01-21","8",173419
"462","2016-01-06","8",224668
"463","2016-05-21","8",138740
"464","2016-07-15","8",135492
"465","2016-06-24","8",134001
"466","2016-07-23","8",141576
"467","2016-07-19","8",147150
"468","2016-06-16","8",160088
"469","2016-02-20","8",197183
"470","2016-05-02","8",174801
"471","2016-04-07","8",175221
"472","2016-02-24","8",180002
"473","2016-06-01","8",161923
"474","2016-04-26","8",184893
"475","2016-01-25","8",185724
"476","2016-05-25","8",137606
"477","2016-04-11","8",175976
"478","2016-03-08","8",180080
"479","2016-06-20","8",165081
"480","2016-02-05","8",161440
"481","2016-08-18","8",143233
"482","2016-09-02","8",127310
"483","2016-02-28","8",249177
"484","2016-01-14","8",175955
"485","2016-03-27","8",201890
"486","2016-01-29","8",165486
"487","2016-09-25","8",184029
"488","2016-08-22","8",145773
"489","2016-03-12","8",184720
"490","2016-01-10","8",253530
"491","2016-06-05","8",219988
"492","2016-07-27","8",143297
"493","2016-09-17","8",146321
"494","2016-07-04","8",158716
"495","2016-10-20","8",145385
"496","2016-06-28","8",156075
"497","2016-07-16","8",132456
"498","2016-05-29","8",226697
"499","2016-10-01","8",154844
"500","2016-04-22","8",156187
"501","2016-04-15","8",168402
"502","2016-05-06","8",149330
"503","2016-06-13","8",181219
"504","2016-07-08","8",133998
"505","2016-08-07","8",158712
"506","2016-05-10","8",168162
"507","2016-08-11","8",135418
"508","2016-02-09","8",187151
"509","2016-02-17","8",176189
"510","2016-03-31","8",176927
"511","2016-05-22","8",190833
"512","2016-04-30","8",168500
"513","2016-01-18","8",189230
"514","2016-01-03","8",228091
"515","2016-03-24","8",152037
"516","2016-09-06","8",147031
"517","2016-07-12","8",164257
"518","2016-03-16","8",174599
"519","2016-02-21","8",244204
"520","2016-08-30","8",144082
"521","2016-09-21","8",149443
"522","2016-03-05","8",194216
"523","2016-08-26","8",124547
"524","2016-10-05","8",158753
"525","2016-02-13","8",192699
"526","2016-08-03","8",140798
"527","2016-03-01","8",178518
"528","2016-08-15","8",144290
"529","2016-05-14","8",165758
"530","2016-08-23","8",136146
"531","2016-02-02","8",171197
"532","2016-07-20","8",143548
"533","2016-09-18","8",213328
"534","2016-09-14","8",140209
"535","2016-07-24","8",185968
"536","2016-06-21","8",159663
"537","2016-09-22","8",144868
"538","2016-05-03","8",174755
"539","2016-06-09","8",142399
"540","2016-04-19","8",167338
"541","2016-07-28","8",141152
"542","2016-04-27","8",177396
"543","2016-09-29","8",142248
"544","2016-10-13","8",141914
"545","2016-07-05","8",155710
"546","2016-01-22","8",168503
"547","2016-09-10","8",136257
"548","2016-06-17","8",156260
"549","2016-04-23","8",193053
"550","2016-04-04","8",185341
"551","2016-10-09","8",224518
"552","2016-06-25","8",159886
"553","2016-10-17","8",156637
"554","2016-06-06","8",169910
"555","2016-01-26","8",179405
"556","2016-08-19","8",133251
"557","2016-07-31","8",189395
"558","2016-03-20","8",229069
"559","2016-05-07","8",145502
"560","2016-08-12","8",131118
"561","2016-08-04","8",143926
"562","2016-10-21","8",18881
"563","2016-01-15","8",177036
"564","2016-05-18","8",155010
"565","2016-08-27","8",124327
"566","2016-06-02","8",161955
"567","2016-02-25","8",178297
"568","2016-09-03","8",131357
"569","2016-01-07","8",198682
"570","2016-07-01","8",138155
"571","2016-09-26","8",163559
"572","2016-08-08","8",143471
"573","2016-02-14","8",242943
"574","2016-09-07","8",141729
"575","2016-02-06","8",171590
"576","2016-06-29","8",154614
"577","2016-05-26","8",162059
"578","2016-10-02","8",182898
"579","2016-06-10","8",141435
"580","2016-10-06","8",157451
"581","2016-09-11","8",178368
"582","2016-10-10","8",159005
"583","2016-05-11","8",164975
"584","2016-07-09","8",136355
"585","2016-07-13","8",162414
"586","2016-02-29","8",191440
"587","2016-03-13","8",236219
"588","2016-01-30","8",189762
"589","2016-04-12","8",172407
"590","2016-03-28","8",220563
"591","2016-05-30","1",474037
"592","2016-02-22","1",511193
"593","2016-07-13","1",430118
"594","2016-01-23","1",533387
"595","2016-05-15","1",532759
"596","2016-06-14","1",443353
"597","2016-03-17","1",438732
"598","2016-03-02","1",496625
"599","2016-02-18","1",468724
"600","2016-01-19","1",501535
"601","2016-02-03","1",470653
"602","2016-06-10","1",380490
"603","2016-04-16","1",461280
"604","2016-04-01","1",466983
"605","2016-01-04","1",556712
"606","2016-05-19","1",444530
"607","2016-03-25","1",523130
"608","2016-09-15","1",364761
"609","2016-07-17","1",498991
"610","2016-07-21","1",389724
"611","2016-05-23","1",474278
"612","2016-06-03","1",415724
"613","2016-02-26","1",463697
"614","2016-04-24","1",652855
"615","2016-08-16","1",362104
"616","2016-01-27","1",486393
"617","2016-07-02","1",407559
"618","2016-06-22","1",389823
"619","2016-08-01","1",404613
"620","2016-01-08","1",509933
"621","2016-03-21","1",507149
"622","2016-04-20","1",435424
"623","2016-02-07","1",619407
"624","2016-01-12","1",510246
"625","2016-09-23","1",368587
"626","2016-06-18","1",407325
"627","2016-03-14","1",505961
"628","2016-04-05","1",461697
"629","2016-02-11","1",472549
"630","2016-08-05","1",397196
"631","2016-04-28","1",442945
"632","2016-07-25","1",419091
"633","2016-05-27","1",384693
"634","2016-03-06","1",680662
"635","2016-05-04","1",397587
"636","2016-09-19","1",448318
"637","2016-06-26","1",542168
"638","2016-01-31","1",675575
"639","2016-09-04","1",472261
"640","2016-08-24","1",351774
"641","2016-10-18","1",412648
"642","2016-04-09","1",496013
"643","2016-05-12","1",434916
"644","2016-06-11","1",455840
"645","2016-03-29","1",489999
"646","2016-02-15","1",520299
"647","2016-05-08","1",488431
"648","2016-08-20","1",359302
"649","2016-01-16","1",551740
"650","2016-09-12","1",402724
"651","2016-04-13","1",453492
"652","2016-10-11","1",414683
"653","2016-06-07","1",412232
"654","2016-10-03","1",535160
"655","2016-08-09","1",415171
"656","2016-06-15","1",428029
"657","2016-03-22","1",472083
"658","2016-05-31","1",462503
"659","2016-07-10","1",449638
"660","2016-08-28","1",419393
"661","2016-07-06","1",409636
"662","2016-08-13","1",310435
"663","2016-07-22","1",334646
"664","2016-04-02","1",452702
"665","2016-03-10","1",462692
"666","2016-01-01","1",415712
"667","2016-07-14","1",415879
"668","2016-06-30","1",402935
"669","2016-09-08","1",358997
"670","2016-04-17","1",657547
"671","2016-09-27","1",420696
"672","2016-02-19","1",472055
"673","2016-02-23","1",510218
"674","2016-10-07","1",412887
"675","2016-03-18","1",425607
"676","2016-10-15","1",373459
"677","2016-07-18","1",415634
"678","2016-05-16","1",591152
"679","2016-06-23","1",369528
"680","2016-07-29","1",352026
"681","2016-05-24","1",456819
"682","2016-09-16","1",371193
"683","2016-08-02","1",405062
"684","2016-08-25","1",341813
"685","2016-06-19","1",596531
"686","2016-01-24","1",663530
"687","2016-05-01","1",622951
"688","2016-05-20","1",394880
"689","2016-08-10","1",404425
"690","2016-03-03","1",476732
"691","2016-02-04","1",471150
"692","2016-08-17","1",362495
"693","2016-04-25","1",510058
"694","2016-06-04","1",426191
"695","2016-04-21","1",415815
"696","2016-05-05","1",452191
"697","2016-06-27","1",437388
"698","2016-09-01","1",362287
"699","2016-01-20","1",490819
"700","2016-07-26","1",409906
"701","2016-01-09","1",556130
"702","2016-03-26","1",438420
"703","2016-01-05","1",524251
"704","2016-08-21","1",481043
"705","2016-07-03","1",511119
"706","2016-09-28","1",400768
"707","2016-10-19","1",405323
"708","2016-04-06","1",472378
"709","2016-06-08","1",434958
"710","2016-02-27","1",509967
"711","2016-09-05","1",423873
"712","2016-10-12","1",399709
"713","2016-02-12","1",461193
"714","2016-03-11","1",459141
"715","2016-07-07","1",366600
"716","2016-03-30","1",493771
"717","2016-09-24","1",369495
"718","2016-09-20","1",413763
"719","2016-02-08","1",511247
"720","2016-10-08","1",446327
"721","2016-03-07","1",522321
"722","2016-09-13","1",375667
"723","2016-06-12","1",584279
"724","2016-08-14","1",359958
"725","2016-08-29","1",416352
"726","2016-07-11","1",419184
"727","2016-08-06","1",362307
"728","2016-05-09","1",438151
"729","2016-04-14","1",448088
"730","2016-05-28","1",402976
"731","2016-02-16","1",496800
"732","2016-01-02","1",507534
"733","2016-10-04","1",440198
"734","2016-01-13","1",503390
"735","2016-04-10","1",609600
"736","2016-06-01","1",442876
"737","2016-03-15","1",499796
"738","2016-01-28","1",477897
"739","2016-07-30","1",337743
"740","2016-01-17","1",674893
"741","2016-04-29","1",405197
"742","2016-09-09","1",349740
"743","2016-04-18","1",499005
"744","2016-03-19","1",461905
"745","2016-05-13","1",427498
"746","2016-02-20","1",533428
"747","2016-02-01","1",515364
"748","2016-05-02","1",466913
"749","2016-04-22","1",407642
"750","2016-04-03","1",564311
"751","2016-07-15","1",376113
"752","2016-03-04","1",459592
"753","2016-10-16","1",471898
"754","2016-04-26","1",485134
"755","2016-01-21","1",475105
"756","2016-05-25","1",378277
"757","2016-03-27","1",491536
"758","2016-05-17","1",444785
"759","2016-07-23","1",361734
"760","2016-06-05","1",583285
"761","2016-02-05","1",461376
"762","2016-06-16","1",408668
"763","2016-03-23","1",456697
"764","2016-03-08","1",496012
"765","2016-02-28","1",680306
"766","2016-08-03","1",370089
"767","2016-10-01","1",364465
"768","2016-02-24","1",492642
"769","2016-01-14","1",474592
"770","2016-08-22","1",398515
"771","2016-07-04","1",422694
"772","2016-03-12","1",511968
"773","2016-06-24","1",346165
"774","2016-09-17","1",439442
"775","2016-02-17","1",492864
"776","2016-09-21","1",394635
"777","2016-05-29","1",538694
"778","2016-09-25","1",469846
"779","2016-04-07","1",462835
"780","2016-04-11","1",466085
"781","2016-04-30","1",407145
"782","2016-03-16","1",475914
"783","2016-01-06","1",608419
"784","2016-01-25","1",520064
"785","2016-02-13","1",517037
"786","2016-08-18","1",370359
"787","2016-08-11","1",367642
"788","2016-03-01","1",502945
"789","2016-05-10","1",441294
"790","2016-09-02","1",336493
"791","2016-08-07","1",420684
"792","2016-06-20","1",442909
"793","2016-06-13","1",472601
"794","2016-08-30","1",385867
"795","2016-01-10","1",687418
"796","2016-02-09","1",507340
"797","2016-05-14","1",438647
"798","2016-04-15","1",447355
"799","2016-07-27","1",393832
"800","2016-07-08","1",354138
"801","2016-07-31","1",513944
"802","2016-10-20","1",384257
"803","2016-09-06","1",395603
"804","2016-03-31","1",450988
"805","2016-07-19","1",385400
"806","2016-05-21","1",370335
"807","2016-06-02","1",432750
"808","2016-01-18","1",523740
"809","2016-10-21","1",52849
"810","2016-04-19","1",456747
"811","2016-08-26","1",333409
"812","2016-01-29","1",463400
"813","2016-05-22","1",454809
"814","2016-09-14","1",368233
"815","2016-10-05","1",421244
"816","2016-09-29","1",364306
"817","2016-07-16","1",364222
"818","2016-05-18","1",406168
"819","2016-07-12","1",439853
"820","2016-06-25","1",389022
"821","2016-04-23","1",484930
"822","2016-09-10","1",351715
"823","2016-06-28","1",405658
"824","2016-06-09","1",406138
"825","2016-02-21","1",676457
"826","2016-05-06","1",392352
"827","2016-10-09","1",557192
"828","2016-08-15","1",411478
"829","2016-02-25","1",491956
"830","2016-04-04","1",481292
"831","2016-05-26","1",420824
"832","2016-10-17","1",410302
"833","2016-03-20","1",607200
"834","2016-09-03","1",342869
"835","2016-09-18","1",551416
"836","2016-01-11","1",533360
"837","2016-07-05","1",403085
"838","2016-07-24","1",472260
"839","2016-08-23","1",366887
"840","2016-02-02","1",474756
"841","2016-01-26","1",494055
"842","2016-03-24","1",421011
"843","2016-06-17","1",407606
"844","2016-10-13","1",384678
"845","2016-05-03","1",452291
"846","2016-07-20","1",373634
"847","2016-02-29","1",535631
"848","2016-09-11","1",459799
"849","2016-01-30","1",500341
"850","2016-09-26","1",415767
"851","2016-08-04","1",350275
"852","2016-03-05","1",517333
"853","2016-01-22","1",468164
"854","2016-10-06","1",423175
"855","2016-09-22","1",374960
"856","2016-10-02","1",500187
"857","2016-04-27","1",473660
"858","2016-06-21","1",417557
"859","2016-01-07","1",528592
"860","2016-01-03","1",612341
"861","2016-07-01","1",358362
"862","2016-09-07","1",373147
"863","2016-06-06","1",437950
"864","2016-03-28","1",544808
"865","2016-04-12","1",458446
"866","2016-03-13","1",670312
"867","2016-08-27","1",326235
"868","2016-07-28","1",378630
"869","2016-08-19","1",355331
"870","2016-02-06","1",479422
"871","2016-08-08","1",378229
"872","2016-10-14","1",369800
"873","2016-04-08","1",456459
"874","2016-03-09","1",484187
"875","2016-08-12","1",375239
"876","2016-09-30","1",354563
"877","2016-10-10","1",430900
"878","2016-02-10","1",495633
"879","2016-07-09","1",363125
"880","2016-05-11","1",425892
"881","2016-02-14","1",649638
"882","2016-01-15","1",496662
"883","2016-06-29","1",401413
"884","2016-08-31","1",366963
"885","2016-05-07","1",377899
"886","2016-01-21","2",506985
"887","2016-06-01","2",495373
"888","2016-01-17","2",730375
"889","2016-02-16","2",526524
"890","2016-01-02","2",558103
"891","2016-02-01","2",548744
"892","2016-09-21","2",454964
"893","2016-07-23","2",429772
"894","2016-08-22","2",441143
"895","2016-10-16","2",549174
"896","2016-09-17","2",456582
"897","2016-02-24","2",530223
"898","2016-03-23","2",501359
"899","2016-02-09","2",540453
"900","2016-10-20","2",443390
"901","2016-04-22","2",465411
"902","2016-09-29","2",428804
"903","2016-08-03","2",426271
"904","2016-10-01","2",463404
"905","2016-03-04","2",506529
"906","2016-09-02","2",384575
